Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,unit
Computer System Status,08/20/2021 12:12:01 PM,08/20/2021 12:12:01 PM,11/18/2021 12:12:01 PM,111449,Reminder - Please reset your LINK password by August 25,,SESH
Computer System Status,08/10/2021 07:31:32 AM,08/10/2021 07:31:32 AM,11/08/2021 07:31:32 AM,111134,LINK System Downtime Due to System Maintenance,,SESH
Computer System Status,08/05/2021 08:20:54 AM,08/05/2021 08:20:54 AM,11/03/2021 08:13:54 AM,110970,TSA Directive - Required Password Changes,,SESH
Computer System Status,10/25/2021 09:19:10 AM,10/25/2021 09:19:10 AM,01/23/2022 09:19:10 AM,113675,Measurement Integrity Downtime this Friday Night,,SG
Computer System Status,10/19/2021 04:19:02 PM,10/19/2021 04:19:02 PM,01/17/2022 04:19:02 PM,113485,Current Customer Usage and Informational Posting Downtime,,SG
Capacity Constraint,09/24/2021 03:28:53 PM,09/25/2021 09:00:00 AM,09/26/2021 09:00:00 AM,112631,Saltville Storage Conditions for 9/25/2021,,SG
Capacity Constraint,09/23/2021 02:45:41 PM,09/24/2021 09:00:00 AM,09/25/2021 09:00:00 AM,112589,SGSC Storage Conditions for 9/24/2021,,SG
Capacity Constraint,09/22/2021 02:22:18 PM,09/23/2021 09:00:00 AM,09/24/2021 09:00:00 AM,112559,Saltville Storage Conditions for 9/23/2021,,SG
Capacity Constraint,09/21/2021 02:33:29 PM,09/22/2021 09:00:00 AM,09/23/2021 09:00:00 AM,112529,Saltville Storage Conditions for 9/22/2021,,SG
Capacity Constraint,09/20/2021 02:22:04 PM,09/21/2021 09:00:00 AM,09/22/2021 09:00:00 AM,112499,SGSC Storage Conditions for 9/21/2021,,SG
Capacity Constraint,09/19/2021 03:25:01 PM,09/20/2021 09:00:00 AM,09/21/2021 09:00:00 AM,112489,SGSC Storage Conditions for 9/20/2021,,SG
Other,09/18/2021 05:00:00 PM,09/18/2021 05:00:00 PM,12/17/2021 04:53:53 PM,112460,LINK System has been restored to full operation,,SG
Capacity Constraint,09/17/2021 06:08:02 PM,09/19/2021 09:00:00 AM,09/20/2021 09:00:00 AM,112418,SGSC Storage Conditions for 9/19/2021,,SG
Capacity Constraint,09/17/2021 02:25:18 PM,09/18/2021 09:00:00 AM,09/19/2021 09:00:00 AM,112399,SGSC Storage Conditions for 9/18/2021,,SG
Capacity Constraint,09/16/2021 02:36:37 PM,09/17/2021 09:00:00 AM,09/18/2021 09:00:00 AM,112370,Saltville Storage Conditions for 9/17/2021,,SG
Other,09/16/2021 02:00:00 PM,09/16/2021 02:00:00 PM,12/15/2021 02:00:00 PM,112361,LINK System Downtime Due to System Maintenance -- Reminder,,SG
Capacity Constraint,09/15/2021 02:43:10 PM,09/16/2021 09:00:00 AM,09/17/2021 09:00:00 AM,112322,SGSC Storage Conditions for 9/16/2021,,SG
Capacity Constraint,09/14/2021 02:42:02 PM,09/15/2021 09:00:00 AM,09/16/2021 09:00:00 AM,112286,Saltville Storage Conditions for 9/15/2021,,SG
Capacity Constraint,09/13/2021 03:14:21 PM,09/14/2021 09:00:00 AM,09/15/2021 09:00:00 AM,112274,Saltville Storage Conditions for 9/14/2021,,SG
Capacity Constraint,09/12/2021 02:57:30 PM,09/13/2021 09:00:00 AM,09/14/2021 09:00:00 AM,112235,Saltville Storage Conditions for 9/13/2021,,SG
Capacity Constraint,09/11/2021 03:39:07 PM,09/12/2021 09:00:00 AM,09/13/2021 09:00:00 AM,112228,SGSC Storage Conditions for 9/12/2021,,SG
Capacity Constraint,09/10/2021 02:57:42 PM,09/11/2021 09:00:00 AM,09/12/2021 09:00:00 AM,112183,Saltville Storage Conditions for 9/11/2021,,SG
Capacity Constraint,09/09/2021 03:00:39 PM,09/10/2021 09:00:00 AM,09/11/2021 09:00:00 AM,112142,Saltville Storage Conditions for 9/10/2021,,SG
Computer System Status,09/09/2021 09:00:00 AM,09/09/2021 09:00:00 AM,12/08/2021 09:00:00 AM,112132,LINK System Downtime Due to System Maintenance,,SG
Capacity Constraint,09/08/2021 03:18:02 PM,09/09/2021 09:00:00 AM,09/10/2021 09:00:00 AM,112114,Saltville Storage Conditions for 9/9/2021 -- INTRADAY,,SG
Capacity Constraint,09/08/2021 03:00:10 PM,09/09/2021 09:00:00 AM,09/10/2021 09:00:00 AM,112094,Saltville Storage Conditions for 9/9/2021,,SG
Computer System Status,08/25/2021 04:40:24 PM,08/25/2021 04:40:24 PM,11/23/2021 04:40:24 PM,111675,Additional TSA requirements that will impact LINK,,SG
Computer System Status,08/23/2021 07:40:35 AM,08/23/2021 07:40:35 AM,11/21/2021 07:40:35 AM,111545,Forced Password Reset of LINK User Account Password,,SG
Computer System Status,08/20/2021 12:12:01 PM,08/20/2021 12:12:01 PM,11/18/2021 12:12:01 PM,111450,Reminder - Please reset your LINK password by August 25,,SG
Computer System Status,08/10/2021 07:31:32 AM,08/10/2021 07:31:32 AM,11/08/2021 07:31:32 AM,111135,LINK System Downtime Due to System Maintenance,,SG
Computer System Status,08/05/2021 08:20:54 AM,08/05/2021 08:20:54 AM,11/03/2021 08:13:54 AM,110971,TSA Directive - Required Password Changes,,SG
Computer System Status,10/25/2021 09:19:10 AM,10/25/2021 09:19:10 AM,01/23/2022 09:19:10 AM,113676,Measurement Integrity Downtime this Friday Night,,SR
Capacity Constraint,10/24/2021 02:42:40 PM,10/25/2021 09:00:00 AM,10/26/2021 09:00:00 AM,113635,SR Storage Conditions for 10/25/2021,,SR
Capacity Constraint,10/23/2021 02:39:15 PM,10/24/2021 09:00:00 AM,10/25/2021 09:00:00 AM,113608,SR Storage Conditions for 10/24/2021,,SR
Capacity Constraint,10/22/2021 03:40:41 PM,10/23/2021 09:00:00 AM,10/24/2021 09:00:00 AM,113596,SR Storage Conditions for 10/23/2021,,SR
Capacity Constraint,10/21/2021 02:52:47 PM,10/22/2021 09:00:00 AM,10/23/2021 09:00:00 AM,113541,SR Storage Conditions for 10/22/2021,,SR
Capacity Constraint,10/20/2021 02:55:59 PM,10/21/2021 09:00:00 AM,10/22/2021 09:00:00 AM,113501,SR Storage Conditions for 10/21/2021,,SR
Computer System Status,10/19/2021 04:19:02 PM,10/19/2021 04:19:02 PM,01/17/2022 04:19:02 PM,113486,Current Customer Usage and Informational Posting Downtime,,SR
Capacity Constraint,10/19/2021 03:27:46 PM,10/20/2021 09:00:00 AM,10/21/2021 09:00:00 AM,113466,SR Storage Conditions for 10/20/2021,,SR
Capacity Constraint,10/18/2021 03:11:53 PM,10/19/2021 09:00:00 AM,10/20/2021 09:00:00 AM,113429,SR Storage Conditions for 10/19/2021,,SR
Capacity Constraint,10/17/2021 02:54:04 PM,10/18/2021 09:00:00 AM,10/19/2021 09:00:00 AM,113388,SR Storage Conditions for 10/18/2021,,SR
Capacity Constraint,10/16/2021 03:33:19 PM,10/17/2021 09:00:00 AM,10/18/2021 09:00:00 AM,113379,SR Storage Conditions for 10/17/2021,,SR
Capacity Constraint,10/15/2021 02:54:45 PM,10/16/2021 09:00:00 AM,10/17/2021 09:00:00 AM,113336,SR Storage Conditions for 10/16/2021,,SR
Capacity Constraint,10/14/2021 02:29:45 PM,10/15/2021 09:00:00 AM,10/16/2021 09:00:00 AM,113298,SR Storage Conditions for 10/15/2021,,SR
Capacity Constraint,10/13/2021 02:26:58 PM,10/14/2021 09:00:00 AM,10/15/2021 09:00:00 AM,113257,SR Storage Conditions for 10/14/2021,,SR
Capacity Constraint,10/12/2021 02:28:35 PM,10/13/2021 09:00:00 AM,10/14/2021 09:00:00 AM,113233,SR Storage Conditions for 10/13/2021,,SR
Capacity Constraint,10/11/2021 02:38:49 PM,10/12/2021 09:00:00 AM,10/13/2021 09:00:00 AM,113202,SR Storage Conditions for 10/12/2021,,SR
Capacity Constraint,10/10/2021 01:55:17 PM,10/11/2021 09:00:00 AM,10/12/2021 09:00:00 AM,113165,SR Storage Conditions for 10/11/2021,,SR
Capacity Constraint,10/09/2021 01:56:53 PM,10/10/2021 09:00:00 AM,10/11/2021 09:00:00 AM,113139,SR Storage Conditions for 10/10/2021,,SR
Capacity Constraint,10/08/2021 02:40:15 PM,10/09/2021 09:00:00 AM,10/10/2021 09:00:00 AM,113102,SR Storage Conditions for 10/9/2021,,SR
Capacity Constraint,10/07/2021 02:58:49 PM,10/08/2021 09:00:00 AM,10/09/2021 09:00:00 AM,113063,SR Storage Conditions for 10/8/2021,,SR
Capacity Constraint,10/06/2021 02:07:14 PM,10/07/2021 09:00:00 AM,10/08/2021 09:00:00 AM,113021,SR Storage Conditions for 10/7/2021,,SR
Capacity Constraint,10/05/2021 03:56:26 PM,10/06/2021 09:00:00 AM,10/07/2021 09:00:00 AM,113010,SR Storage Conditions for 10/6/2021,,SR
Capacity Constraint,10/04/2021 03:31:30 PM,10/05/2021 09:00:00 AM,10/06/2021 09:00:00 AM,112972,SR Storage Conditions for 10/5/2021,,SR
Capacity Constraint,10/03/2021 03:26:17 PM,10/04/2021 09:00:00 AM,10/05/2021 09:00:00 AM,112941,SR Storage Conditions for 10/4/2021,,SR
Capacity Constraint,10/02/2021 03:52:51 PM,10/03/2021 09:00:00 AM,10/04/2021 09:00:00 AM,112918,SR Storage Conditions for 10/3/2021,,SR
Capacity Constraint,10/01/2021 03:57:26 PM,10/02/2021 09:00:00 AM,10/03/2021 09:00:00 AM,112884,SR Storage Conditions for 10/2/2021,,SR
Capacity Constraint,09/30/2021 02:51:03 PM,10/01/2021 09:00:00 AM,10/02/2021 09:00:00 AM,112826,SR Storage Conditions for 10/1/2021,,SR
Capacity Constraint,09/29/2021 02:44:10 PM,09/30/2021 09:00:00 AM,10/01/2021 09:00:00 AM,112774,SR Storage Conditions for 9/30/2021,,SR
Capacity Constraint,09/28/2021 02:40:33 PM,09/29/2021 09:00:00 AM,09/30/2021 09:00:00 AM,112741,SR Storage Conditions for 9/29/2021,,SR
Capacity Constraint,09/27/2021 04:31:00 PM,09/28/2021 09:00:00 AM,09/29/2021 09:00:00 AM,112729,SR Storage Conditions for 9/28/2021,,SR
Other,09/18/2021 05:00:00 PM,09/18/2021 05:00:00 PM,12/17/2021 04:53:53 PM,112461,LINK System has been restored to full operation,,SR
Other,09/16/2021 02:00:00 PM,09/16/2021 02:00:00 PM,12/15/2021 02:00:00 PM,112362,LINK System Downtime Due to System Maintenance -- Reminder,,SR
Computer System Status,09/09/2021 09:00:00 AM,09/09/2021 09:00:00 AM,12/08/2021 09:00:00 AM,112133,LINK System Downtime Due to System Maintenance,,SR
Computer System Status,08/25/2021 04:40:24 PM,08/25/2021 04:40:24 PM,11/23/2021 04:40:24 PM,111676,Additional TSA requirements that will impact LINK,,SR
Computer System Status,08/23/2021 07:40:35 AM,08/23/2021 07:40:35 AM,11/21/2021 07:40:35 AM,111546,Forced Password Reset of LINK User Account Password,,SR
Computer System Status,08/20/2021 12:12:01 PM,08/20/2021 12:12:01 PM,11/18/2021 12:12:01 PM,111451,Reminder - Please reset your LINK password by August 25,,SR
Computer System Status,08/10/2021 07:31:32 AM,08/10/2021 07:31:32 AM,11/08/2021 07:31:32 AM,111136,LINK System Downtime Due to System Maintenance,,SR
Computer System Status,08/05/2021 08:20:54 AM,08/05/2021 08:20:54 AM,11/03/2021 08:13:54 AM,110972,TSA Directive - Required Password Changes,,SR
