State County,City,Property Name,Property Numbe Site Number Category,Division District
NY Saratoga County,MALTA,MALTA TEST STA,C02NY0898 03 CON/HTRW,NAD NAE
NY Suffolk County,MONTAUK,CP HERO,C02NY0024 01 CON/HTRW,NAD NAE
NY Suffolk County,MONTAUK,CP HERO,C02NY0024 02 BD/DR,NAD NAE
NY Suffolk County,MONTAUK,CP HERO,C02NY0024 03 HTRW,NAD NAE
NY Suffolk County,MONTAUK,CP HERO,C02NY0024 04 MMRP,NAD NAE
NY Suffolk County,MONTAUK,CP HERO,C02NY0024 05 MMRP,NAD NAE
NY Suffolk County,MONTAUK,CP HERO,C02NY0024 06 MMRP,NAD NAE
NY Suffolk County,MONTAUK,MONTAUK NAVAL SUB BASE,C02NY0766 01 HTRW,NAD NAE
NY Suffolk County,MONTAUK,MONTAUK NAVAL SUB BASE,C02NY0766 02 MMRP,NAD NAE
NY Orange County,MONTGOMERY,MONTGOMERY AUX FLD #1,C02NY0649 01 CON/HTRW,NAD NAE
NY Orange County,MONTGOMERY,STE OUTER MARK AX,C02NY0710 01 CON/HTRW,NAD NAE
NY Clinton County,MOOERS FORKS,PLATTSBURGH ATLAS S-12,C02NY0217 01 BD/DR,NAD NAE
NY Clinton County,MOOERS FORKS,PLATTSBURGH ATLAS S-12,C02NY0217 02 PRP/HTRW,NAD NAE
NY Westchester County,NEW ROCHELLE,FORT SLOCUM,C02NY0616 00 CON/HTRW,NAD NAE
NY Westchester County,NEW ROCHELLE,FORT SLOCUM,C02NY0616 01 HTRW,NAD NAE
NY Westchester County,NEW ROCHELLE,FORT SLOCUM,C02NY0616 02 MMRP,NAD NAE
NY Westchester County,NEW ROCHELLE,FORT SLOCUM-NEPTUNE,C02NY0617 01 CON/HTRW,NAD NAE
NY Orange County,NEW WINDSOR,STE OBS LIGHT ANX,C02NY0709 01 CON/HTRW,NAD NAE
NY Orange County,NEWBURGH,NAVSTORHOUSE-SHIPYARD,C02NY0963 01 CON/HTRW,NAD NAE
NY Orange County,NEWBURGH,STEWART AFB,C02NY0704 01 HTRW,NAD NAE
NY Orange County,NEWBURGH,STEWART AFB,C02NY0704 02 CON/HTRW,NAD NAE
NY Niagara County,NIAGARA FALLS,NIAG FALLS AR CHEM PLT,C02NY0205 01 PRP/HTRW,NWD NWK
NY Franklin County,NO CITY,PLATTSBURGH ATLAS S-7,C02NY0212 01 PRP/MMRP,NAD NAB
NY Kings County,NO CITY,ATL BASIN IRON WORKS,C02NY0969 01 CON/HTRW,NAD NAE
NY Kings County,NO CITY,FLOYD BENNETT FLD,C02NY0020 01 CON/HTRW,NAD NAE
NY Kings County,NO CITY,FLOYD BENNETT FLD,C02NY0020 02 HTRW,NAD NAE
NY Kings County,NO CITY,MILITARY OCEAN TER,C02NY0642 01 CON/HTRW,NAD NAE
NY Kings County,NO CITY,MILITARY OCEAN TER,C02NY0642 02 BD/DR,NAD NAE
NY Kings County,NO CITY,NAVY BARRACKS BKLYN,C02NY0174 01 CON/HTRW,NAD NAE
NY Nassau County,NO CITY,SHO BEA FIRE CON STA,C02NY0698 01 BD/DR,NAD NAE
NY Orange County,NO CITY,COLD SPRING FOUNDRY,C02NY1127 01 MMRP,NAD NAE
NY Orange County,NO CITY,COLD SPRING FOUNDRY,C02NY1127 02 MMRP,NAD NAE
NY Nassau County,NORTH BELLMORE,MIT COMM FAC AX #1 REC,C02NY0646 01 BD/DR,NAD NAE
NY Nassau County,NORTH BELLMORE,MIT COMM FAC AX #1 REC,C02NY0646 02 CON/HTRW,NAD NAE
NY Rockland County,ORANGEBURG,NIKE NY 04/05,C02NY0065 01 CON/HTRW,NAD NAE
NY Suffolk County,ORIENT,PLUM ISLAND ANIMAL RESEARCH,C02NY0010 01 BD/DR,NAD NAE
,,CENTER,,
NY Suffolk County,ORIENT,PLUM ISLAND ANIMAL RESEARCH,C02NY0010 02 CON/HTRW,NAD NAE
,,CENTER,,
NY Suffolk County,ORIENT,PLUM ISLAND ANIMAL RESEARCH,C02NY0010 03 HTRW,NAD NAE
,,CENTER,,
NY Suffolk County,ORIENT,PLUM ISLAND ANIMAL RESEARCH,C02NY0010 04 PRP/HTRW,NAD NAE
,,CENTER,,
NY St Lawrence County,OSWEGATCHIE,OSWEGATCHIE GAP FIL AX,C02NY0666 01 CON/HTRW,NAD NAE
NY Oswego County,OSWEGO,FORT ONTARIO,C02NY0614 01 MMRP,NAD NAE
NY Monroe County,ROCHESTER,NAVY & MARINE CNTR #3,C02NY1075 01 HTRW,NAD NAE
NY Schenectady County,ROTTERDAM,ROTTERDAM INDUST. PARK,C02NY0017 01 CON/HTRW,NAD NAE
NY Schenectady County,ROTTERDAM,ROTTERDAM INDUST. PARK,C02NY0017 03 HTRW,NAD NAE
NY Jefferson County,SACKETS HARBOR,FT MADISON BARRACKS,C02NY0013 00 CON/HTRW,NAD NAE
NY Niagara County,SANBORN,LOCKPORT AFS,C02NY0868 01 CON/HTRW,NAD NAE
NY Niagara County,SANBORN,LOCKPORT AFS,C02NY0868 02 HTRW,NAD NAE
NY Niagara County,SANBORN,NIKE BAT NF16,C02NY0093 01 CON/HTRW,NAD NAE
NY Nassau County,SANDS POINT,US NAV TRG DEVICE CEN,C02NY0758 01 CON/HTRW,NAD NAE
NY Nassau County,SANDS POINT,US NAV TRG DEVICE CEN,C02NY0758 02 HTRW,NAD NAE
NY Nassau County,SANDS POINT,US NAV TRG DEVICE CEN,C02NY0758 03 MMRP,NAD NAE
NY Clinton County,SARANAC,PLATTSBURGH ATLAS S-8,C02NY0213 01 CON/HTRW,NAD NAE
NY Suffolk County,SHOREHAM,NIKE NY-25 CON AREA,C02NY0066 00 CON/HTRW,NAD NAE
NY Rockland County,SPRING VALLEY,NIKE NY 99,C02NY0067 01 CON/HTRW,NAD NAE
NY Rockland County,SPRING VALLEY,NIKE NY 99,C02NY0067 02 BD/DR,NAD NAE
NY Richmond County,STATEN ISLAND,MILLER FLD,C02NY0001 01 CON/HTRW,NAD NAE
NY Richmond County,STATEN ISLAND,SWINBURNE ISL S/LIGHT,C02NY0718 01 BD/DR,NAD NAE
NY Richmond County,STATEN ISLAND,SWINBURNE ISL S/LIGHT,C02NY0718 02 CON/HTRW,NAD NAE
NY Saratoga County,STILLWATER,SARATOGA AF STA 250,C02NY0905 01 CON/HTRW,NAD NAE
NY Nassau County,SYOSSET,SYOSSET NAV INDRESACFT,C02NY0746 01 CON/HTRW,NAD NAE
NY Onondaga County,SYRACUSE,SYRACUSE AFS MCC-10,C02NY0719 01 CON/HTRW,NAD NAE
NY Rockland County,TOMKINS COVE,IONA ISLAND NAVAL AMMUNITION,C02NY0744 01 CON/HTRW,NAD NAE
,,DEPOT,,
NY Rockland County,TOMKINS COVE,IONA ISLAND NAVAL AMMUNITION,C02NY0744 02 HTRW,NAD NAE
,,DEPOT,,
NY Rockland County,TOMKINS COVE,IONA ISLAND NAVAL AMMUNITION,C02NY0744 03 MMRP,NAD NAE
,,DEPOT,,
NY Wyoming County,VILLAGE OF,CAMP O'RYAN - WETHERSFIELD,C02NY1132 01 HTRW,NAD NAE
,"NORTH JAVA,",TRAINING AREA,,
,TOWN OF,,,
,WETHERSFI,,,
NY Jefferson County,WATERTOWN,ROCHESTER ORD STO FAC,C02NY0678 00 MMRP,NAD NAE
NY Jefferson County,WATERTOWN,WATERTOWN AF STA 249,C02NY0906 01 CON/HTRW,NAD NAE
NY Clinton County,WEST CHAZY,PLATTSBURG OTR MK AUX,C02NY0682 01 CON/HTRW,NAD NAE
NY Suffolk County,WESTHAMPTON,SUFFOLK CO AAF&B&C RGE,C02NY0713 01 MMRP,NAD NAE
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 01 CON/HTRW,NAD NAE
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 02 HTRW,NAD NAE
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 03 PRP/HTRW,NAD NAB
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 04 MMRP,NAD NAE
NY Suffolk County,WESTHAMPTON,SUFFOLK COUNTY AFB,C02NY0712 06 MMRP,NAD NAE
NY Westchester County,WHITE PLAINS,NIKE NY 09,C02NY0094 01 CON/HTRW,NAD NAE
NY Seneca County,WILLARD,SAMPSON AFB,C02NY0032 00 CON/HTRW,NAD NAE
NY Seneca County,WILLARD,SAMPSON AFB,C02NY0032 01 BD/DR,NAD NAE
NY Seneca County,WILLARD,SAMPSON AFB,C02NY0032 02 MMRP,NAD NAE
NY Seneca County,WILLARD,SAMPSON AFB,C02NY0032 03 HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,AFPLT NO 68,C02NY0576 01 BD/DR,NAD NAE
NY Niagara County,YOUNGSTOWN,FORT NIAGARA,C02NY0613 01 CON/HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,FORT NIAGARA,C02NY0613 02 HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,FORT NIAGARA,C02NY0613 03 MMRP,NAD NAE
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 00 HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 01 HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 02 HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 04 HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 06 CON/HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 10 HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 11 HTRW,NAD NAE
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 12 HTRW,NAD NAE
